City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kuhdasht,IR,46.27,clear sky,33.535,47.6061,فروشگاه زنبیل
1,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Mar Del Plata,AR,64.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
5,Bogale,MM,83.98,scattered clouds,16.2833,95.4,Aung Pin Lel Guest House
6,Ushuaia,AR,42.46,broken clouds,-54.8,-68.3,Albatros Hotel
7,Riyadh,SA,59.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
8,Dingle,PH,82.85,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
9,Nacala,MZ,79.9,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
10,Codrington,AU,67.6,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
12,Aktau,KZ,45.18,broken clouds,43.65,51.2,Silk Way Hotel
13,Ancud,CL,56.73,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
14,Ribeira Grande,PT,67.37,broken clouds,38.5167,-28.7,Quinta da Meia Eira
15,Cape Town,ZA,64.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
18,Mataura,NZ,63.54,overcast clouds,-46.1927,168.8643,Ellie's Villa
20,Nanakuli,US,82.35,scattered clouds,21.3906,-158.1547,Camp Pālehua
21,Butaritari,KI,82.18,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
22,Saint-Philippe,RE,80.22,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
23,Rikitea,PF,76.86,overcast clouds,-23.1203,-134.9692,People ThankYou
24,Klaksvik,FO,41.92,scattered clouds,62.2266,-6.589,Airbnb rooms
25,Pamekasan,ID,82.22,moderate rain,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
26,Lakes Entrance,AU,81.57,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
27,Bredasdorp,ZA,57.27,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
28,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
29,Hithadhoo,MV,82.04,overcast clouds,-0.6,73.0833,Scoop Guest House
32,Tura,IN,71.33,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
34,Victor Harbor,AU,73.18,overcast clouds,-35.5667,138.6167,McCracken Country Club
35,Busselton,AU,73.8,clear sky,-33.65,115.3333,Observatory Guest House
36,Batticaloa,LK,80.15,overcast clouds,7.7102,81.6924,Grand Star Guest House
37,Iberia,US,52.05,clear sky,29.9502,-91.7507,back to back rv park
38,Kirakira,SB,83.35,overcast clouds,-10.4544,161.9205,SanBiz Lodge
39,Sungaipenuh,ID,77.74,overcast clouds,-2.0833,101.3833,penginapan citra alam
40,Kaeo,NZ,71.33,broken clouds,-35.1,173.7833,Bushido Lodge
41,Constantine,DZ,44.01,scattered clouds,36.365,6.6147,Grand Hotel Cirta
42,Hermanus,ZA,62.91,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
45,Emerald,AU,89.74,light rain,-23.5333,148.1667,The Irish Village
47,Norrtalje,SE,41.85,broken clouds,59.758,18.705,Norrtälje Vandrarhem Hvilan
48,Santa Cruz De Tenerife,ES,73.69,clear sky,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
49,Kieta,PG,85.39,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
