,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kuhdasht,IR,33.535,47.6061,46.27,62,0,2.37,clear sky
1,Kapaa,US,22.0752,-159.319,80.58,74,40,1.01,scattered clouds
2,Kyra,RU,49.5776,111.9753,15.85,78,89,1.5,overcast clouds
3,Mar Del Plata,AR,-38.0023,-57.5575,64.09,70,0,5.99,clear sky
4,Albany,US,42.6001,-73.9662,28.74,62,1,1.99,clear sky
5,Bogale,MM,16.2833,95.4,83.98,73,48,7.0,scattered clouds
6,Ushuaia,AR,-54.8,-68.3,42.46,81,75,14.97,broken clouds
7,Riyadh,SA,24.6877,46.7219,59.14,55,3,7.45,clear sky
8,Dingle,PH,10.9995,122.6711,82.85,82,100,15.01,overcast clouds
9,Nacala,MZ,-14.5428,40.6728,79.9,77,83,7.85,broken clouds
10,Codrington,AU,-38.2667,141.9667,67.6,72,75,11.34,broken clouds
11,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,77,75,6.91,light snow
12,Aktau,KZ,43.65,51.2,45.18,83,77,10.4,broken clouds
13,Ancud,CL,-41.8697,-73.8203,56.73,96,9,4.36,clear sky
14,Ribeira Grande,PT,38.5167,-28.7,67.37,84,77,20.8,broken clouds
15,Cape Town,ZA,-33.9258,18.4232,64.11,62,0,14.97,clear sky
16,Barrow,US,71.2906,-156.7887,3.22,78,90,11.5,overcast clouds
17,Khatanga,RU,71.9667,102.5,-1.57,83,100,13.71,overcast clouds
18,Mataura,NZ,-46.1927,168.8643,63.54,46,100,6.73,overcast clouds
19,Bethel,US,41.3712,-73.414,34.05,58,1,4.61,clear sky
20,Nanakuli,US,21.3906,-158.1547,82.35,61,40,10.36,scattered clouds
21,Butaritari,KI,3.0707,172.7902,82.18,70,100,12.95,overcast clouds
22,Saint-Philippe,RE,-21.3585,55.7679,80.22,65,27,7.65,scattered clouds
23,Rikitea,PF,-23.1203,-134.9692,76.86,82,100,12.88,overcast clouds
24,Klaksvik,FO,62.2266,-6.589,41.92,63,38,30.04,scattered clouds
25,Pamekasan,ID,-7.1568,113.4746,82.22,74,100,0.36,moderate rain
26,Lakes Entrance,AU,-37.8811,147.981,81.57,64,86,4.16,overcast clouds
27,Bredasdorp,ZA,-34.5322,20.0403,57.27,85,99,4.79,overcast clouds
28,Vaini,TO,-21.2,-175.2,84.36,84,40,3.44,scattered clouds
29,Hithadhoo,MV,-0.6,73.0833,82.04,76,91,17.74,overcast clouds
30,Dikson,RU,73.5069,80.5464,5.83,92,100,10.42,overcast clouds
31,Mirabad,AF,30.4362,61.8383,59.74,28,5,9.08,clear sky
32,Tura,IN,25.5198,90.2201,71.33,47,0,0.87,clear sky
33,The Pas,CA,53.8251,-101.2541,5.02,72,90,19.57,overcast clouds
34,Victor Harbor,AU,-35.5667,138.6167,73.18,89,100,1.99,overcast clouds
35,Busselton,AU,-33.65,115.3333,73.8,41,2,6.2,clear sky
36,Batticaloa,LK,7.7102,81.6924,80.15,80,100,6.29,overcast clouds
37,Iberia,US,29.9502,-91.7507,52.05,81,1,5.75,clear sky
38,Kirakira,SB,-10.4544,161.9205,83.35,75,100,12.57,overcast clouds
39,Sungaipenuh,ID,-2.0833,101.3833,77.74,44,100,2.08,overcast clouds
40,Kaeo,NZ,-35.1,173.7833,71.33,73,61,5.75,broken clouds
41,Constantine,DZ,36.365,6.6147,44.01,75,40,2.3,scattered clouds
42,Hermanus,ZA,-34.4187,19.2345,62.91,81,100,8.68,overcast clouds
43,Khokhryaki,RU,56.9156,53.3221,16.05,89,99,3.0,overcast clouds
44,Baiyin,CN,36.5583,104.2081,36.48,27,0,3.98,clear sky
45,Emerald,AU,-23.5333,148.1667,89.74,48,75,11.5,light rain
46,Ous,RU,60.9058,61.5186,9.97,85,100,7.74,overcast clouds
47,Norrtalje,SE,59.758,18.705,41.85,84,51,10.02,broken clouds
48,Santa Cruz De Tenerife,ES,28.4682,-16.2546,73.69,84,0,1.99,clear sky
49,Kieta,PG,-6.2167,155.6333,85.39,69,90,5.08,overcast clouds
50,East London,ZA,-33.0153,27.9116,56.34,100,75,13.8,moderate rain
51,Te Anau,NZ,-45.4167,167.7167,68.18,39,97,2.86,overcast clouds
52,Akom,CM,2.6678,12.7109,66.58,96,62,2.04,broken clouds
53,Ulladulla,AU,-35.35,150.4667,76.1,71,100,10.09,light rain
54,Hobart,AU,-42.8794,147.3294,74.23,64,75,1.01,broken clouds
55,Port Alfred,ZA,-33.5906,26.891,61.14,76,86,13.27,moderate rain
56,Pevek,RU,69.7008,170.3133,-19.62,99,100,3.38,overcast clouds
57,Veraval,IN,20.9,70.3667,78.55,48,30,9.01,scattered clouds
58,Lagoa,PT,39.05,-27.9833,65.64,86,87,22.12,overcast clouds
59,Narsaq,GL,60.9167,-46.05,28.62,87,100,10.76,light snow
60,Rio Gallegos,AR,-51.6226,-69.2181,44.65,65,0,6.91,clear sky
61,Aldan,RU,58.6031,125.3894,-8.19,90,100,1.88,overcast clouds
62,Inta,RU,66.0317,60.1659,16.66,94,100,17.6,light snow
63,Mahebourg,MU,-20.4081,57.7,78.26,83,20,3.44,few clouds
64,Volchikha,RU,52.0333,80.3833,18.79,95,28,8.14,scattered clouds
65,Sola,VU,-13.8833,167.55,79.47,78,90,0.0,overcast clouds
66,Luanda,AO,-8.8368,13.2343,78.8,83,20,5.75,few clouds
67,Kahului,US,20.8947,-156.47,83.46,68,40,8.05,scattered clouds
68,Thinadhoo,MV,0.5333,72.9333,82.13,77,87,16.82,overcast clouds
69,Atuona,PF,-9.8,-139.0333,77.65,77,51,12.8,broken clouds
70,Puerto Ayora,EC,-0.7393,-90.3518,68.99,81,13,6.89,few clouds
71,Yellowknife,CA,62.456,-114.3525,-12.59,95,75,3.0,broken clouds
72,Ketchikan,US,55.3422,-131.6461,37.38,87,90,0.0,overcast clouds
73,Matagami,CA,49.7502,-77.6328,15.91,100,90,13.8,light snow
74,Kirra,GR,38.4333,22.45,58.78,88,77,6.13,broken clouds
75,Adrar,MR,20.5022,-10.0711,73.22,38,91,9.01,overcast clouds
76,Shache,CN,38.4167,77.2406,33.3,37,82,1.83,broken clouds
77,Yining,CN,29.0361,114.5636,57.81,38,0,0.92,clear sky
78,Ahuimanu,US,21.4447,-157.8378,82.11,64,75,4.61,broken clouds
79,Ponta Do Sol,PT,32.6667,-17.1,69.01,80,100,7.0,overcast clouds
80,Hilo,US,19.7297,-155.09,78.53,76,90,3.44,overcast clouds
81,Carnarvon,AU,-24.8667,113.6333,96.87,16,0,12.66,clear sky
82,New Norfolk,AU,-42.7826,147.0587,73.89,50,100,1.99,light rain
83,Dudinka,RU,69.4058,86.1778,14.47,83,100,14.85,overcast clouds
84,Luderitz,NA,-26.6481,15.1594,61.2,72,74,16.6,broken clouds
85,Qasigiannguit,GL,68.8193,-51.1922,26.85,74,100,28.9,light snow
86,Neyshabur,IR,36.2133,58.7958,46.69,69,0,1.21,clear sky
87,Perdoes,BR,-21.0908,-45.0914,66.58,65,64,3.62,broken clouds
88,Kropotkin,RU,45.4375,40.5756,38.3,96,100,5.5,overcast clouds
89,Kaitangata,NZ,-46.2817,169.8464,62.85,52,100,3.89,light rain
90,Punta Arenas,CL,-53.15,-70.9167,44.71,76,0,6.91,clear sky
91,Bambous Virieux,MU,-20.3428,57.7575,78.22,83,20,3.44,few clouds
92,Batemans Bay,AU,-35.7167,150.1833,75.99,65,100,10.16,light rain
93,Hualmay,PE,-11.0964,-77.6139,66.31,83,100,7.45,overcast clouds
94,Siilinjarvi,FI,63.0833,27.6667,32.02,93,90,10.36,snow
95,Egvekinot,RU,66.3167,-179.1667,-4.9,66,17,6.4,few clouds
96,Airai,TL,-8.9266,125.4092,76.32,55,51,1.99,broken clouds
97,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,90,100,18.81,overcast clouds
98,Tatawin,TN,32.9297,10.4518,56.28,70,100,0.92,overcast clouds
99,South Yuba City,US,39.1166,-121.6391,57.88,59,1,12.66,clear sky
100,Rawson,AR,-43.3002,-65.1023,70.34,43,46,25.48,scattered clouds
101,Lodja,CD,-3.4833,23.4333,68.47,99,97,2.17,light rain
102,Iqaluit,CA,63.7506,-68.5145,29.93,74,75,4.0,broken clouds
103,Esperance,AU,-33.8667,121.9,67.84,56,1,9.64,clear sky
104,Itaguai,BR,-22.8522,-43.7753,73.58,94,0,2.3,clear sky
105,Lavrentiya,RU,65.5833,-171.0,0.66,88,2,7.9,clear sky
106,Sur,OM,22.5667,59.5289,76.57,29,7,2.68,clear sky
107,Bathsheba,BB,13.2167,-59.5167,79.41,89,40,16.11,scattered clouds
108,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.17,80,17,9.66,few clouds
109,Namatanai,PG,-3.6667,152.4333,85.66,68,53,11.5,light rain
110,Dalby,AU,-27.1833,151.2667,84.97,46,100,3.0,overcast clouds
111,Kavieng,PG,-2.5744,150.7967,84.94,72,99,15.68,light rain
112,Arraial Do Cabo,BR,-22.9661,-42.0278,71.65,89,50,8.16,scattered clouds
113,Kandi,BJ,11.1342,2.9386,75.49,24,40,4.07,scattered clouds
